TeamName,StadiumName,StadiumAddress,StadiumCity,StadiumState,StadiumZIP,StadiumCounty,HSIPAOI,FEMARegion,StadiumLAT,StadiumLON,TeamConference,TeamDivision,StadiumCapacity,StadiumRoofType
ChicagoBears,Soldier Field,1410 South Museum Campus Drive,Chicago,IL,60605,Cook,Chicago,5,41.8625,-87.61677,National,North,61500,Open
HoustonTexans,Reliant Stadium,8299 Kirby Drive,Houston,TX,77054,Harris,Houston,6,29.68493,-95.41092,American,South,71500,Retractable
KansasCityChiefs,Arrowhead Stadium,1 Arrowhead Drive,Kansas City,MO,64129,Jackson,Kansas City,7,39.04895,-94.48388,American,West,77000,Open
NewOrleansSaints,Louisiana Superdome,1550 Sugar Bowl Drive,New Orleans,LA,70112,Orleans,New Orleans,6,29.95116,-90.08128,National,South,72968,Dome
MiamiDolphins,Sun Life Stadium,2267 North West 199th Street,Miami,FL,33056,Dade,Miami-Fort Lauderdale,4,25.95801,-80.23889,American,East,76500,Open
TampaBayBuccaneers,Raymond James Stadium,4201 North Dale Mabry Highway,Tampa,FL,33607,Hillsborough,Tampa-St. Petersburg,4,27.97884,-82.50349,National,South,65857,Open
AtlantaFalcons,Georgia Dome,1 Georgia Dome Drive NW,Atlanta,GA,30313,Fulton,Atlanta,4,33.75735,-84.40121,National,South,71228,Dome
BuffaloBills,Ralph Wilson Stadium,1 Bills Drive,Orchard Park,NY,14127,Erie,Buffalo,2,42.77379,-78.78679,American,East,73967,Open
SanFrancisco49ers,Candlestick Park,602 Jamestown Avenue,San Francisco,CA,94124,San Francisco,San Francisco-Oakland,9,37.71399,-122.38673,National,West,70207,Open
StLouisRams,Edward Jones Dome,701 Convention Plaza,Saint Louis,MO,63101,Saint Louis City,Saint Louis,7,38.63278,-90.18854,National,West,66965,Dome
BaltimoreRavens,M&T Bank Stadium,1101 Russell Street,Baltimore,MD,21230,Baltimore City,Baltimore,3,39.2779,-76.6227,American,North,71008,Open
JacksonvilleJaguars,Jacksonville Municipal Stadium,1 Stadium Place,Jacksonville,FL,32202,Duval,Jacksonville,4,30.32387,-81.6369,American,South,76867,Open
PhiladelphiaEagles,Lincoln Financial Field,1020 Pattison Avenue,Philadelphia,PA,19148,Philadelphia,Philadelphia,3,39.90147,-75.16729,National,East,68532,Open
SeattleSeahawks,Qwest Stadium,800 Occidental Avenue South,Seattle,WA,98134,King,Seattle-Tacoma,10,47.59476,-122.33165,National,West,67000,Open
OaklandRaiders,Oakland-Alameda County Coliseum,7000 Coliseum Way,Oakland,CA,94621,Alameda,San Francisco-Oakland,9,37.75233,-122.1999,American,West,63026,Open
DallasCowboys,Cowboys Stadium,900 East Randol Mill Road,Arlington,TX,76011,Tarrant,Dallas-Fort Worth,6,32.74778,-97.09277,National,East,80000,Retractable
PittsburghSteelers,Heinz Field,100 Art Rooney Avenue,Pittsburgh,PA,15212,Allegheny,Pittsburgh,3,40.44673,-80.01574,American,North,65050,Open
CarolinaPanthers,Bank of America Stadium,800 South Mint Street,Charlotte,NC,28202,Mecklenburg,Charlotte,4,35.22584,-80.85331,National,South,73778,Open
NewEnglandPatriots,Gillette Stadium,1 Patriot Place,Foxboro,MA,2035,Norfolk,Boston,1,42.09188,-71.26491,American,East,68756,Open
IndianapolisColts,Lucas Oil Stadium,500 South Capitol Avenue,Indianapolis,IN,46225,Marion,Indianapolis,5,39.76,-86.16361,American,South,63000,Retractable
MinnesotaVikings,Hubert H. Humphrey Metrodome,900 South 5th Street,Minneapolis,MN,55415,Hennepin,Minneapolis-Saint Paul,5,44.97401,-93.25848,National,North,64035,Dome
WashingtonRedskins,FedEx Field,1600 FedEx Way,Landover,MD,20785,Prince George's,Washington,3,38.90778,-76.86444,National,East,91704,Open
TennesseeTitans,LP Field,1 Titan Way,Nashville,TN,37213,Davidson,Nashville,4,36.16654,-86.77252,American,South,68798,Open
SanDiegoChargers,Qualcomm Stadium,9449 Friars Road,San Diego,CA,92108,San Diego,San Diego,9,32.78322,-117.11976,American,West,71294,Open
DenverBroncos,Invesco Field at Mile High,1701 Bryant Street,Denver,CO,80204,Denver,Denver,8,39.74396,-105.02028,American,West,76125,Open
NewYorkGiants,Meadowlands Stadium,50 State Highway 120,East Rutherford,NJ,7073,Bergen,New York-Newark,2,40.81361,-74.07444,National,East,82500,Open
NewYorkJets,Meadowlands Stadium,50 State Highway 120,East Rutherford,NJ,7073,Bergen,New York-Newark,2,40.81361,-74.07444,National,East,82500,Open
DetroitLions,Ford Field,2000 Brush Street,Detroit,MI,48226,Wayne,Detroit,5,42.34005,-83.04564,National,North,64111,Dome
ClevelandBrowns,Cleveland Browns Stadium,100 Alfred Lerner Way,Cleveland,OH,44114,Cuyahoga,Cleveland-Akron,5,41.50618,-81.69962,American,North,65790,Open
CincinnatiBengals,Paul Brown Stadium,1 Paul Brown Stadium,Cincinnati,OH,45202,Hamilton,Cincinnati,5,39.09532,-84.51623,American,North,65535,Open
GreenBayPackers,Lambeau Field,1265 Lombardi Avenue,Green Bay,WI,54307,Brown,None,5,44.50117,-88.06223,National,North,72928,Open
ArizonaCardinals,University of Phoenix Stadium,1 Cardinals Drive,Glendale,AZ,85305,Maricopa,Phoenix,9,33.52713,-112.25876,National,West,63400,Retractable
